Date,Open,High,Low,Close,Volume,Adj_Close,open_diff,high_diff,low_diff,close_diff,vol_diff,,,,,,,,,,
5/23/11,1333.07,1333.07,1312.88,1317.37,3255580000,1317.37,-0.006654247,-0.006654247,-0.013369205,-0.011925566,-0.19932022,,,,,,,,,,
5/20/11,1342,1342,1330.67,1333.27,4066020000,1333.27,-0.000297974,-0.0035788,-0.004257835,-0.0076883,0.121317335,,,,,,,,,,
5/19/11,1342.4,1346.82,1336.36,1343.6,3626110000,1343.6,0.010432505,0.003726282,0.007364747,0.002177999,-0.075450723,,,,,,,,,,
5/18/11,1328.54,1341.82,1326.59,1340.68,3922030000,1340.68,0.001839982,0.008568723,0.006128129,0.008803744,-0.032545875,,,,,,,,,,
5/17/11,1326.1,1330.42,1318.51,1328.98,4053970000,1328.98,-0.006495501,-0.009610446,-0.006637435,-0.000368568,0.05400585,,,,,,,,,,
5/16/11,1334.77,1343.33,1327.32,1329.47,3846250000,1329.47,-0.010321126,-0.005287048,-0.004529909,-0.006204355,0.122448682,,,,,,,,,,
5/13/11,1348.69,1350.47,1333.36,1337.77,3426660000,1337.77,0.006943459,-0.000429296,0.000998476,-0.008067327,-0.092806595,,,,"MEAN, MAX, VAR, QUARTILE FOR WHOLE DATA SET",,,,,,
5/12/11,1339.39,1351.05,1332.03,1348.65,3777210000,1348.65,-0.011162708,-0.002554429,-0.003240145,0.004895386,-0.017949951,,,,,,,,,,
5/11/11,1354.51,1354.51,1336.36,1342.08,3846250000,1342.08,0.004575997,-0.003626493,-0.008884999,-0.011111439,-0.089373399,,,,,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
5/10/11,1348.34,1359.44,1348.34,1357.16,4223740000,1357.16,0.00607372,0.007410481,0.00724616,0.008074041,-0.009732138,,,,mean,393.9602447,396.5943271,391.1910507,394.0502188,586421999,394.0502188
5/9/11,1340.2,1349.44,1338.64,1346.29,4265250000,1346.29,-2.98E-05,-0.003632712,0.002291139,0.004544098,0.009827783,,,,max,1564.98,1576.09,1555.46,1565.15,11456230400,1565.15
5/6/11,1340.24,1354.36,1335.58,1340.2,4223740000,1340.2,-0.002916319,0.004718101,0.004822558,0.003819939,0.098144946,,,,var,209641.4122,212511.6426,206570.694,209702.7925,1.61684E+18,209702.7925
5/5/11,1344.16,1348,1329.17,1335.1,3846250000,1335.1,-0.008658456,-0.005826388,-0.009191204,-0.009069857,-0.089373399,,,,quantile,79.985,80.72,79.39,79.98,5830000,79.98
5/4/11,1355.9,1355.9,1341.5,1347.32,4223740000,1347.32,-0.002838736,-0.003630111,-0.005942854,-0.006855273,0,,,,,,,,,,
5/3/11,1359.76,1360.84,1349.52,1356.62,4223740000,1356.62,-0.00399206,-0.00710648,-0.006676039,-0.003379321,0.098144946,,,,,,,,,,
5/2/11,1365.21,1370.58,1358.59,1361.22,3846250000,1361.22,0.003727557,0.004411678,-7.36E-05,-0.001752701,0.105539699,,,,,,,,,,
4/29/11,1360.14,1364.56,1358.69,1363.61,3479070000,1363.61,0.004638589,0.002092957,0.003760343,0.002300659,-0.138165685,,,,,,,,,,
4/28/11,1353.86,1361.71,1353.6,1360.48,4036820000,1360.48,0.004026905,0.003108679,0.006955551,0.003555464,-0.003640564,,,,,,,,,,
4/27/11,1348.43,1357.49,1344.25,1355.66,4051570000,1355.66,0.00873761,0.005883443,0.005610623,0.006249814,0.036721545,,,,,,,,,,
4/26/11,1336.75,1349.55,1336.75,1347.24,3908060000,1347.24,-0.000291667,0.008971627,0.003965542,0.008979592,0.824380406,,,,,,,,,,
4/25/11,1337.14,1337.55,1331.47,1335.25,2142130000,1335.25,0.002932727,4.49E-05,-0.001020385,-0.001592666,-0.402847314,,,,,,,,,,
4/21/11,1333.23,1337.49,1332.83,1337.38,3587240000,1337.38,0.010696525,0.00362433,0.010393292,0.005276767,-0.153209892,,,,,,,,,,
4/20/11,1319.12,1332.66,1319.12,1330.36,4236280000,1330.36,0.010053676,0.015205302,0.011618365,0.013514955,0.090054808,,,,,,,,,,
4/19/11,1305.99,1312.7,1303.97,1312.62,3886300000,1312.62,-0.00560399,-0.000494918,0.00715996,0.005731186,-0.079891281,,,,,,,,,,
4/18/11,1313.35,1313.35,1294.7,1305.14,4223740000,1305.14,-0.00090526,-0.007203979,-0.014447963,-0.011017823,0,,,,,,,,,,
4/15/11,1314.54,1322.88,1313.68,1319.68,4223740000,1319.68,0.00260081,0.004624883,0.008645445,0.003925387,0.090664484,,,,,,,,,,
4/14/11,1311.13,1316.79,1302.42,1314.52,3872630000,1314.52,-0.002206951,-0.003451016,-0.005171136,8.37E-05,0.005653283,,,,,,,,,,
4/13/11,1314.03,1321.35,1309.19,1314.41,3850860000,1314.41,-0.005998669,-0.000461436,-0.000244366,0.000190236,-0.099317271,,,,,,,,,,
4/12/11,1321.96,1321.96,1309.51,1314.16,4275490000,1314.16,-0.0053047,-0.0088546,-0.008742979,-0.007776754,0.228952822,,,,,,,,,,
4/11/11,1329.01,1333.77,1321.06,1324.46,3478970000,1324.46,-0.005351156,-0.004247981,-0.001421077,-0.002793317,-0.028982837,,,,,,,,,,
4/8/11,1336.16,1339.46,1322.94,1328.17,3582810000,1328.17,0.001003881,0.000492979,-0.002728863,-0.004004469,-0.10554973,,,,,,,,,,
4/7/11,1334.82,1338.8,1326.56,1333.51,4005600000,1333.51,-0.000838361,-0.000433036,-0.003403226,-0.001519984,-0.051646171,,,,,,,,,,
4/6/11,1335.94,1339.38,1331.09,1335.54,4223740000,1335.54,0.002935369,0.000874302,0.000796975,0.002183652,0.096426013,,,,,,,,,,
4/5/11,1332.03,1338.21,1330.03,1332.63,3852280000,1332.63,-0.001147305,0.00109969,0.000699722,-0.000180063,-0.087945754,,,,,,,,,,
4/4/11,1333.56,1336.74,1329.1,1332.87,4223740000,1332.87,0.003068869,-0.000829689,0.000158027,0.000345239,0,,,,,,,,,,
4/1/11,1329.48,1337.85,1328.89,1332.41,4223740000,1332.41,0.001536793,0.006076239,0.002913142,0.004962929,0.184357887,,,,,,,,,,
3/31/11,1327.44,1329.77,1325.03,1325.83,3566270000,1325.83,0.004198534,-0.001479268,0.002375387,-0.001829461,-0.063865476,,,,,,,,,,
3/30/11,1321.89,1331.74,1321.89,1328.26,3809570000,1328.26,0.00956185,0.009314487,0.012740757,0.006684654,0.093893033,,,,,,,,,,
3/29/11,1309.37,1319.45,1305.26,1319.44,3482580000,1319.44,-0.004621992,-0.00021974,-0.003762813,0.007060045,0.083171341,,,,,,,,,,
3/28/11,1315.45,1319.74,1310.19,1310.19,3215170000,1310.19,0.002782436,0.000424506,3.05E-05,-0.002747755,-0.238786005,,,,,,,,,,
3/25/11,1311.8,1319.18,1310.15,1313.8,4223740000,1313.8,0.008603655,0.005978617,0.009562778,0.003161126,0,,,,,,,,,,
3/24/11,1300.61,1311.34,1297.74,1309.66,4223740000,1309.66,0.00651607,0.008327502,0.010661579,0.009340753,0.099259568,,,,,,,,,,
3/23/11,1292.19,1300.51,1284.05,1297.54,3842350000,1297.54,-0.004698488,0.000892754,-0.006691421,0.002913965,0.074317429,,,,,,,,,,
3/22/11,1298.29,1299.35,1292.7,1293.77,3576550000,1293.77,0.012983264,-0.000945732,0.008621699,-0.003550578,-0.153224756,,,,,,,,,,
3/21/11,1281.65,1300.58,1281.65,1298.38,4223730000,1298.38,0.00386932,0.009077649,0.004286229,0.014985812,-0.098552983,,,,,,,,,,
3/18/11,1276.71,1288.88,1276.18,1279.21,4685500000,1279.21,0.011968833,0.007819342,0.011548735,0.004310209,0.133145504,,,,,,,,,,
3/17/11,1261.61,1278.88,1261.61,1273.72,4134950000,1273.72,-0.013951198,-0.001584811,0.010055642,0.013398256,-0.291110921,,,,,,,,,,
3/16/11,1279.46,1280.91,1249.05,1256.88,5833000000,1256.88,-0.006985083,-0.005859708,-0.009570858,-0.019494957,0.121428846,,,,,,,,,,
3/15/11,1288.46,1288.46,1261.12,1281.87,5201400000,1281.87,-0.009783352,-0.009783352,-0.019628878,-0.011200333,0.284178976,,,,,,,,,,
